Name,ImageUrl,ProductUrl,ProviderName,Price
Beige Abstract Microfibre 6 ft x 9 ft Machine Made Carpet,/database/carpets/Beige Abstract Microfibre 6 ft x 9 ft Machine Made Carpet.png,https://www.pepperfry.com/product/beige-abstract-microfibre-6-ft-x-9-ft-machine-made-carpet-1672575.html,Pepperfry,"₹6,999"
Multicolor Silk 6 X 4 Feet Abstract Rectangle Carpet,/database/carpets/Multicolor Silk 6 X 4 Feet Abstract Rectangle Carpet.png,https://www.pepperfry.com/product/multicolor-silk-6-x-4-feet-abstract-rectangle-carpet-2313953.html,Pepperfry,"₹1,699"
Rust and Cream Abstract 4x6 Feet Machine Made Carpet,/database/carpets/Rust and Cream Abstract 4x6 Feet Machine Made Carpet.png,https://www.pepperfry.com/product/rust-and-cream-abstract-4x6-feet-machine-made-carpet-2259320.html,Pepperfry,"₹10,686"
Soft Argyle Rug 5'6X7'6 ft Beige & White Carpet Dhurrie,/database/carpets/Soft Argyle Rug 5'6X7'6 ft Beige & White Carpet Dhurrie.png,https://www.pepperfry.com/product/soft-argyle-rug-56x76-ft-beige-white-carpet-dhurrie-2300425.html,Pepperfry,"₹12,149"
