Name,ImageUrl,ProductUrl,ProviderName,Price
Bardu Sheesham Wood 6 Seater Dining Set in Honey Oak Finish,/database/dining/Bardu Sheesham Wood 6 Seater Dining Set in Honey Oak Finish.png,https://www.pepperfry.com/product/bardu-sheesham-wood-6-seater-dining-set-in-honey-oak-finish-2273330.html,Pepperfry,"₹94,999"
Marin Sheesham Wood 4 Seater Dining Set in Scratch Resistant Provincial Teak Finish,/database/dining/Marin Sheesham Wood 4 Seater Dining Set in Scratch Resistant Provincial Teak Finish.png,https://www.pepperfry.com/product/marin-sheesham-wood-4-seater-dining-set-in-provincial-teak-finish-1861104.html,Pepperfry,"₹43,999"
Modena Toronto Marble Top 6 Seater Dining Set In Natural Finish,/database/dining/Modena Toronto Marble Top 6 Seater Dining Set In Natural Finish.png,https://www.pepperfry.com/product/modena-solid-wood-marble-top-6-seater-dining-set-in-natural-finish-2300959.html,Pepperfry,"₹1,44,999"
