Name,ImageUrl,ProductUrl,ProviderName,Price
Beautiful Colorful Texture Abstract Canvas Wall Painting,/database/wall_decor/Beautiful Colorful Texture Abstract Canvas Wall Painting.png,https://www.pepperfry.com/product/beautiful-colorful-texture-abstract-canvas-wall-painting-2288846.html,Pepperfry,$349.00
Classic Horizontal Four Natural Wood Wall Shelf,/database/wall_decor/Classic Horizontal Four Natural Wood Wall Shelf.png,https://www.pepperfry.com/product/classichorizontal-four-natural-wood-wall-shelf-2174980.html,Pepperfry,$349.00
Lineart Multicolour Canvas Framed Abstract Art Panel Set of 4,/database/wall_decor/Lineart Multicolour Canvas Framed Abstract Art Panel Set of 4.png,https://www.pepperfry.com/product/lineart-multicolour-canvas-framed-abstract-art-panel-set-of-4-2027639.html,Pepperfry,$349.00
Petree Engineered Wood Wall Mounted Floating Shelf,/database/wall_decor/Petree Engineered Wood Wall Mounted Floating Shelf.png,https://www.pepperfry.com/product/petree-engineered-wood-wall-mounted-floating-shelf-2198506.html,Pepperfry,$349.00
Ship Shape Backlit Walnut Wood Wall Shelf,/database/wall_decor/Ship Shape Backlit Walnut Wood Wall Shelf.png,https://www.pepperfry.com/product/ship-shape-backlit-walnut-wood-wall-shelf-2174939.html,Pepperfry,$349.00
Urban Motif Set Of 7 Multicolour Wood Wall Shelves,/database/wall_decor/Urban Motif Set Of 7 Multicolour Wood Wall Shelves.png,https://www.pepperfry.com/product/urban-motif-set-of-7-multicolour-wood-wallshelves-2174987.html,Pepperfry,$349.00
