Name,ImageUrl,ProductUrl,ProviderName,Price
Brevik Sheesham Wood Queen Size Bed In Provincial Teak Finish,/database/bed/Brevik Sheesham Wood Queen Size Bed In Provincial Teak Finish.png,https://www.pepperfry.com/product/brevik-sheesham-wood-queen-size-bed-in-provincial-teak-finish-with-drawer-storage-2151490.html,Pepperfry,"₹46,999"
Persia Queen Size Bed in Wenge Finish,/database/bed/Persia Queen Size Bed in Wenge Finish.png,https://www.pepperfry.com/product/persia-queen-size-bed-in-wenge-finish-2162786.html,Pepperfry,"₹12,999"
Tokyo Queen size Bed in Planked Walnut Finish with Upholstered Headboard Storage,/database/bed/Tokyo Queen size Bed in Planked Walnut Finish with Upholstered Headboard Storage.png,https://www.pepperfry.com/product/tokyo-queen-size-bed-in-planked-walnut-finish-with-upholstered-headboard-storage-2182630.html,Pepperfry,"₹17,999"
