Name,ImageUrl,ProductUrl,ProviderName,Price
Blue Eye in the Sky Metal Enamel Table Lamp,/database/table_lights/Blue Eye in the Sky Metal Enamel Table Lamp.png,https://www.pepperfry.com/product/blue-eye-in-the-sky-metal-enamel-table-lamp-2314864.html,Pepperfry,"₹9,460"
Boho Sphere Indonesian Premium Natural Rattan cane & Braided Beize Wire,/database/table_lights/Boho Sphere Indonesian Premium Natural Rattan cane & Braided Beize Wire.png,https://www.pepperfry.com/product/boho-sphere-indonesian-premium-natural-rattan-cane-braided-beize-wire-2244122.html,Pepperfry,"₹1,843"
Pisa White Fabric Shade Night Lamp With Glass Base,/database/table_lights/Pisa White Fabric Shade Night Lamp With Glass Base.png,https://www.pepperfry.com/product/pisa-white-fabric-shade-night-lamp-with-glass-base-1608199.html,Pepperfry,"₹11,590"
White Pillar Mango Wood Table Lamp,/database/table_lights/White Pillar Mango Wood Table Lamp.png,https://www.pepperfry.com/product/white-pillar-mango-wood-table-lamp-2314869.html,Pepperfry,"₹5,950"
