Name,ImageUrl,ProductUrl,ProviderName,Price
Circular Modern Shelves with Walnut Finish Set of Four,/database/wall_plants/Circular Modern Shelves with Walnut Finish Set of Four.png,https://www.pepperfry.com/product/circular-modern-shelves-with-walnut-finish-set-of-four-2288919.html,Pepperfry,"₹3,599"
Pack Of 3 White Rectangular Wall Planters,/database/wall_plants/Pack Of 3 White Rectangular Wall Planters.png,https://www.pepperfry.com/product/pack-of-3-white-rectangular-wall-planters-2245745.html,Pepperfry,₹617
