Name,ImageUrl,ProductUrl,ProviderName,Price
Aurum Centre Table In Natural Bleach Finish,/database/table/Aurum Centre Table In Natural Bleach Finish.png,https://www.pepperfry.com/product/aurum-centre-table-in-natural-bleach-finish-2315339.html,Pepperfry,$199.00
Eco Large Coffee Table In Choco Walnut Finish,/database/table/Eco Large Coffee Table In Choco Walnut Finish.png,https://www.pepperfry.com/product/eco-large-coffee-table-in-choco-walnut-finish-1849876.html,Pepperfry,$199.00
Modena Toronto Marble Coffee Table In Natural Finish,/database/table/Modena Toronto Marble Coffee Table In Natural Finish.png,https://www.pepperfry.com/product/modena-solid-wood-marble-coffee-table-in-natural-finish-2300962.html,Pepperfry,$199.00
