Name,ImageUrl,ProductUrl,ProviderName,Price
Clint Sheesham Wood Arm Chair In Provincial Teak Finish,/database/chairs/Clint Sheesham Wood Arm Chair In Provincial Teak Finish.png,https://www.pepperfry.com/product/clint-sheesham-wood-arm-chair-in-provincial-teak-finish-1685909.html,Pepperfry,"₹9,499"
Esme Velvet Armchair In Blue Colour,/database/chairs/Esme Velvet Armchair In Blue Colour.png,https://www.pepperfry.com/product/esme-velvet-armchair-in-blue-colour-2168752.html,Pepperfry,"₹12,999"
Petra Sheesham Wood Arm Chair In Scratch Resistant Provincial Teak Finish,/database/chairs/Petra Sheesham Wood Arm Chair In Scratch Resistant Provincial Teak Finish.png,https://www.pepperfry.com/product/petra-sheesham-wood-arm-chair-in-provincial-teak-finish-2206609.html,Pepperfry,"₹13,999"
Poise Fabric Rocking Chair In Multi Colour,/database/chairs/Poise Fabric Rocking Chair In Multi Colour.png,,,$199.00
